phase_1_address,score,e911_address
979 galvin rd,1.0,979 GALVIN RD
198 barnes rd,1.0,198 BARNES RD
64 gibeault rd,1.0,64 GIBEAULT RD
699 witherell rd,1.0,699 WITHERELL RD
38 school rd,1.0,38 SCHOOL RD
2155 s bingham st,1.0,2155 S BINGHAM ST
137 wooster rd,1.0,137 WOOSTER RD
813 delong rd,1.0,813 DELONG RD
101 paige rd,1.0,101 PAIGE RD
312 peet rd,1.0,312 PEET RD
7 pepper ln,1.0,7 PEPPER Ln
1868 richville rd,1.0,1868 RICHVILLE RD
1107 n bingham st,1.0,1107 N BINGHAM ST
1014 halladay rd,1.0,1014 HALLADAY RD
1703 ridge rd,1.0,1703 RIDGE RD
1620 ridge rd,1.0,1620 RIDGE RD
1374 ridge rd,1.0,1374 RIDGE RD
364 buttolph rd,1.0,364 BUTTOLPH RD
507 pidgeon rd w,1.0,507 PIDGEON RD W
563 pidgeon rd w,1.0,563 PIDGEON RD W
438 pidgeon rd w,1.0,438 PIDGEON RD W
648 pidgeon rd w,1.0,648 PIDGEON RD W
195 leland rd,1.0,195 LELAND RD
44 shard villa rd,1.0,44 SHARD VILLA RD
615 shard villa rd,1.0,615 SHARD VILLA RD
1271 middle rd,1.0,1271 MIDDLE RD
433 pidgeon rd w,1.0,433 PIDGEON RD W
351 goodrich rd,1.0,351 GOODRICH RD
258 old foundry rd,1.0,258 OLD FOUNDRY RD
2229 n cream hill rd,1.0,2229 N CREAM HILL RD
1673 hemenway hill rd,1.0,1673 HEMENWAY HILL RD
15 duffany rd,1.0,15 DUFFANY RD
1904 leland rd,1.0,1904 LELAND RD
872 n cream hill rd,1.0,872 N CREAM HILL RD
947 n cream hill rd,1.0,947 N CREAM HILL RD
167 duffany rd,1.0,167 DUFFANY RD
886 quiet valley rd,1.0,886 QUIET VALLEY RD
1236 n bingham st,1.0,1236 N BINGHAM ST
315 riggs rd,1.0,315 RIGGS RD
39 lemon fair rd,1.0,39 LEMON FAIR RD
1590 sperry rd,1.0,1590 SPERRY RD
3153 watch point rd,1.0,3153 WATCH POINT RD
2504 n bingham st,1.0,2504 N BINGHAM ST
1415 delong rd,1.0,1415 DELONG RD
95 wildflower ln,1.0,95 WILDFLOWER Ln
53 oliver howe ct,1.0,53 OLIVER HOWE CT
292 delong rd,1.0,292 DELONG RD
1078 doolittle rd,1.0,1078 DOOLITTLE RD
878 doolittle rd,1.0,878 DOOLITTLE RD
247 kerrfield dr,1.0,247 KERRFIELD DR
967 richville rd,1.0,967 RICHVILLE RD
74 hanson rd,1.0,74 HANSON RD
2733 basin harbor rd,1.0,2733 BASIN HARBOR RD
265 barnes rd,1.0,265 BARNES RD
1209 cider mill rd,1.0,1209 CIDER MILL RD
315 angel rd,1.0,315 ANGEL RD
262 duffany rd,1.0,262 DUFFANY RD
279 barnes rd,1.0,279 BARNES RD
2196 leland rd,1.0,2196 LELAND RD
1426 school st,1.0,1426 SCHOOL ST
3905 richville rd,1.0,3905 RICHVILLE RD
1102 smith st,1.0,1102 SMITH ST
2190 leland rd,1.0,2190 LELAND RD
381 w salisbury rd,1.0,381 W SALISBURY RD
510 sperry rd,1.0,510 SPERRY RD
1400 shard villa rd,1.0,1400 SHARD VILLA RD
930 shacksboro rd,1.0,930 SHACKSBORO RD
91 doolittle rd,1.0,91 DOOLITTLE RD
988 basin harbor rd,1.0,988 BASIN HARBOR RD
532 shacksboro rd,1.0,532 SHACKSBORO RD
309 doolittle rd,1.0,309 DOOLITTLE RD
2255 barnum hill rd,1.0,2255 BARNUM HILL RD
13 beauvais rd,1.0,13 BEAUVAIS RD
299 stickney rd,1.0,299 STICKNEY RD
225 audet rd,1.0,225 AUDET RD
